precursor	mirbase_id	chr	strand	start	end	exp_mature	Cerebellum	Heart	Testis	Brain	Kidney	closest_gene	gene_strand	distance
hsa-mir-146b	MI0003129	chr10	+	104196269	104196341	hsa-miR-146b-5p	1137.71	2924.85	5883.19	7046.57	5635.04	CUEDC2	-	-3847
hsa-mir-96	MI0000098	chr7	-	129414532	129414609	none	0	0	0	0	0	NRF1	+	17611
hsa-mir-4455	MI0016801	chr4	-	185859537	185859594	none	0	0	0	0	0	LOC100506229	-	38923
hsa-mir-3143	MI0014167	chr6	+	27115405	27115467	none	0	0	0	0	0	HIST1H2AH	+	-60
hsa-mir-548h-2	MI0006412	chr16	-	11400297	11400384	hsa-miR-548h-5p	0	0	0	0	0.36	PRM1	-	25106
hsa-mir-4255	MI0015863	chr1	+	37627164	37627235	none	0	0	0	0	0	GRIK3	-	-127321
hsa-mir-125b-1	MI0000446	chr11	-	121970465	121970552	hsa-miR-125b-1-3p	0.22	1.9	7.49	1.59	0.36	BLID	-	-15511
hsa-mir-541	MI0005539	chr14	+	101530832	101530915	hsa-miR-541-3p	10.25	0	0.79	11.58	0.18	MEG9	+	5334
hsa-mir-520a	MI0003149	chr19	+	54194135	54194219	hsa-miR-520a-5p	0	0	10.25	0	0	DPRX	+	-53873
hsa-mir-3686	MI0016087	chr8	-	130496303	130496388	none	0	0	0	0	0	LOC728724	-	242818
hsa-mir-656	MI0003678	chr14	+	101533061	101533138	hsa-miR-656-5p	0.45	0	0	0.32	0	MEG9	+	3111
hsa-mir-8060	MI0025896	chr3	+	96078808	96078883	none	0	0	0	0	0	EPHA6	+	454543
hsa-mir-181b-1	MI0000270	chr1	-	198828002	198828111	hsa-miR-181b-5p	14517.6	1109.13	245.53	28943.5	1851.28	LOC100131234	-	0
hsa-mir-196a-2	MI0000279	chr12	+	54385522	54385631	hsa-miR-196a-3p	0	0	2.76	0	6.43	HOXC10	+	-1461
hsa-mir-299	MI0000744	chr14	+	101490131	101490193	hsa-miR-299-3p	38.54	8.56	41.38	14.6	1.96	SNORD114-31	+	-30486
hsa-mir-8074	MI0025910	chr19	-	51710185	51710265	none	0	0	0	0	0	CD33	+	-18071
hsa-mir-4495	MI0016857	chr12	-	98332834	98332899	none	0	0	0	0	0	RMST	+	405291
hsa-mir-219a-2	MI0000740	chr9	-	131154897	131154993	hsa-miR-219a-5p	0	0	0.79	5.71	0.18	URM1	+	603
hsa-mir-144	MI0000460	chr17	-	27188551	27188636	hsa-miR-144-5p	14.93	9537.78	1382.52	279.69	5204.53	ERAL1	+	480
hsa-mir-380	MI0000788	chr14	+	101491354	101491414	hsa-miR-380-3p	2.45	0	1.58	3.17	0	SNORD114-31	+	-31709
hsa-mir-7977	MI0025753	chr3	+	176232891	176232939	hsa-miR-7977	0	0	0	0	0.18	TBL1XR1	-	505604
hsa-mir-1244-1	MI0006379	chr12	-	9392063	9392147	hsa-miR-1244	0.22	0	0.39	0.32	0	LOC100499405	+	-453
hsa-mir-494	MI0003134	chr14	+	101495971	101496051	hsa-miR-494-5p	0.22	0	0	0.16	0	SNORD114-31	+	-36326
hsa-mir-4432	MI0016772	chr2	-	60614497	60614580	none	0	0	0	0	0	BCL11A	-	-63723
hsa-mir-519a-1	MI0003178	chr19	+	54255651	54255735	hsa-miR-519a-3p	0	0	3.15	0	0	NLRP12	-	41121
hsa-mir-509-3	MI0005717	chrX	-	146341170	146341244	hsa-miR-509-3p	6.24	1.9	4129.82	15.23	205.62	CXorf51A	-	444922
hsa-mir-509-3	MI0005717	chrX	-	146341170	146341244	hsa-miR-509-3p	6.24	1.9	4129.82	15.23	205.62	CXorf51B	-	444922
hsa-mir-8084	MI0025920	chr8	+	94041979	94042067	none	0	0	0	0	0	TRIQK	-	-63608
hsa-mir-1268a	MI0006405	chr15	-	22513229	22513280	none	0	0	0	0	0	REREP3	+	-33286
hsa-mir-221	MI0000298	chrX	-	45605585	45605694	hsa-miR-221-3p	14.26	223.63	12.22	231.94	69.25	CXorf36	-	545440
hsa-mir-518a-1	MI0003170	chr19	+	54234260	54234344	hsa-miR-518a-3p	0	0	1.18	0	0	NLRP12	-	62512
hsa-mir-184	MI0000481	chr15	+	79502130	79502213	hsa-miR-184	474.73	23.08	130.45	404.55	695.39	LOC729911	-	0
hsa-mir-518a-2	MI0003173	chr19	+	54242587	54242673	hsa-miR-518a-3p	0	0	1.18	0	0	NLRP12	-	54183
hsa-mir-1468	MI0003782	chrX	-	63005882	63005967	hsa-miR-1468-5p	2.45	2.14	1.18	1.59	8.92	ARHGEF9	-	457
hsa-mir-3180-2	MI0014215	chr16	+	16403736	16403823	hsa-miR-3180-3p	12.92	0.24	2.76	5.08	0	PKD1P1	+	7644
hsa-mir-515-1	MI0003144	chr19	+	54182257	54182339	hsa-miR-515-5p	0	0	10.25	0	0	DPRX	+	-41995
hsa-mir-4507	MI0016871	chr14	-	106324293	106324344	none	0	0	0	0	0	KIAA0125	+	-59495
hsa-mir-181a-1	MI0000289	chr1	-	198828173	198828282	hsa-miR-181a-3p	68.61	65.19	11.43	235.27	51.76	LOC100131234	-	0
hsa-let-7i	MI0000434	chr12	+	62997466	62997549	hsa-let-7i-5p	9934.43	2090.03	1259.56	1765.57	777.67	C12orf61	-	-253
hsa-mir-4786	MI0017433	chr2	-	240882432	240882511	hsa-miR-4786-5p	0.22	1.43	0.39	0.16	0	NDUFA10	-	-14279
hsa-mir-2114	MI0010633	chrX	+	149396239	149396318	hsa-miR-2114-3p	0.22	0	1.58	0.16	0.71	MAMLD1	+	135234
hsa-mir-2861	MI0013006	chr9	+	130548197	130548286	none	0	0	0	0	0	CDK9	+	20
hsa-mir-4538	MI0016909	chr14	-	106324334	106324411	none	0	0	0	0	0	KIAA0125	+	-59428
hsa-mir-320a	MI0000542	chr8	-	22102475	22102556	hsa-miR-320a	2268.96	284.54	236.07	400.58	272.19	POLR3D	+	-64
hsa-mir-520g	MI0003166	chr19	+	54225420	54225509	hsa-miR-520g-3p	0	0.24	3.15	0	0	NLRP12	-	71347
hsa-mir-210	MI0000286	chr11	-	568089	568198	hsa-miR-210-5p	1.34	2.14	0.79	2.54	0.54	RASSF7	+	4065
hsa-mir-4719	MI0017354	chr16	+	76902833	76902916	hsa-miR-4719	0	0	0.39	0	0	CNTNAP4	+	-309699
hsa-mir-4727	MI0017364	chr17	+	36982091	36982145	hsa-miR-4727-3p	0.22	0	0	0.32	0.36	CWC25	-	-503
hsa-mir-1302-3	MI0006364	chr2	-	114340536	114340673	none	0	0	0	0	0	WASH2P	+	-558
hsa-mir-376a-1	MI0000784	chr14	+	101507119	101507186	hsa-miR-376a-3p	1.34	1.67	18.92	2.54	0.89	MEG9	+	29063
hsa-mir-4465	MI0016816	chr6	+	141004951	141005020	none	0	0	0	0	0	LOC100132735	+	-823344
hsa-mir-3663	MI0016064	chr10	-	118927189	118927285	hsa-miR-3663-3p	0.22	0	1.58	0.48	0	VAX1	-	29378
hsa-mir-4300	MI0015831	chr11	-	81601783	81601878	none	0	0	0	0	0	FAM181B	-	-841169
hsa-mir-363	MI0000764	chrX	-	133303408	133303482	hsa-miR-363-3p	147.25	260.99	35.86	236.54	1005.42	CCDC160	+	-67596
hsa-mir-3680-2	MI0019113	chr16	-	29610500	29610586	none	0	0	0	0	0	SLC7A5P1	-	-13839
hsa-mir-3912	MI0016416	chr5	-	170813660	170813764	none	0	0	0	0	0	NPM1	+	-945
hsa-mir-497	MI0003138	chr17	-	6921230	6921341	hsa-miR-497-5p	271.79	143.46	288.88	52.35	110.48	C17orf49	+	388
hsa-mir-497	MI0003138	chr17	-	6921230	6921341	hsa-miR-497-5p	271.79	143.46	288.88	52.35	110.48	RNASEK-C17orf49	+	388
hsa-mir-517b	MI0003165	chr19	+	54224330	54224396	hsa-miR-517-5p	0	0.24	0.39	0	0	NLRP12	-	72460
hsa-mir-3688-1	MI0016089	chr4	-	160049954	160050046	hsa-miR-3688-3p	0.89	1.43	0.39	0.32	1.07	C4orf45	-	93622
hsa-mir-4294	MI0015827	chr10	-	50193557	50193632	none	0	0	0	0	0	WDFY4	+	2557
hsa-mir-5580	MI0019135	chr14	-	54415145	54415202	none	0	0	0	0	0	BMP4	-	-1254
hsa-mir-4436b-2	MI0019110	chr2	+	111042430	111042520	none	0	0	0	0	0	LOC100507334	+	-18296
hsa-mir-34a	MI0000268	chr1	-	9211727	9211836	hsa-miR-34a-3p	0.67	0	2.76	0.16	0	GPR157	-	22499
hsa-mir-662	MI0003670	chr16	+	820183	820277	none	0	0	0	0	0	MSLN	+	-1319
hsa-mir-4262	MI0015872	chr2	-	11977059	11977112	none	0	0	0	0	0	LPIN1	+	9527
hsa-mir-659	MI0003683	chr22	-	38243685	38243781	hsa-miR-659-5p	4.23	2.62	0.39	4.28	3.93	EIF3L	+	-1599
hsa-mir-30d	MI0000255	chr8	-	135817119	135817188	hsa-miR-30d-3p	0.22	16.65	1.58	3.17	17.13	ZFAT	-	91828
hsa-mir-4634	MI0017261	chr5	+	174178737	174178790	hsa-miR-4634	0	0.24	0	0	0	MSX2	+	-20836
hsa-mir-5692a-2	MI0019298	chr8	+	12576641	12576699	none	0	0	0	0	0	LONRF1	-	2708
hsa-mir-4445	MI0016788	chr3	+	109321675	109321744	hsa-miR-4445-3p	0	0	0	0	0.36	FLJ25363	+	-107662
hsa-mir-6130	MI0021275	chr21	+	24451606	24451714	none	0	0	0	0	0	D21S2088E	-	281713
hsa-mir-378c	MI0015825	chr10	-	132760851	132760931	none	0	0	0	0	0	TCERG1L	-	-129725
hsa-let-7a-2	MI0000061	chr11	-	122017230	122017301	hsa-let-7a-5p	561489	184921	87834.8	187022	81620.8	BLID	-	30308
hsa-mir-543	MI0005565	chr14	+	101498324	101498401	hsa-miR-543	18.94	1.9	11.43	13.33	0.36	MEG9	+	37848
hsa-mir-718	MI0012489	chrX	-	153285371	153285440	none	0	0	0	0	0	IRAK1	-	30
hsa-mir-4433b	MI0025511	chr2	-	64567881	64567982	hsa-miR-4433b-5p	0	0.24	1.18	0	0	LGALSL	+	-113346
hsa-mir-30d	MI0000255	chr8	-	135817119	135817188	hsa-miR-30d-3p	0.22	16.65	1.58	3.17	17.13	ZFAT	-	91828
hsa-mir-29c	MI0000735	chr1	-	207975197	207975284	hsa-miR-29c-5p	7.8	13.08	7.09	9.52	9.28	CD46	+	6337
hsa-mir-3150a	MI0014177	chr8	+	96085142	96085221	hsa-miR-3150a-5p	0	0	0	0.16	0	NDUFAF6	+	-14199
hsa-mir-194-2	MI0000732	chr11	-	64658827	64658911	hsa-miR-194-5p	224.56	82.32	51.63	51.56	4214.99	ATG2A	-	-3094
hsa-mir-1193	MI0014205	chr14	+	101496389	101496466	hsa-miR-1193	4.46	0.48	1.97	0.48	0.36	SNORD114-31	+	-36744
hsa-mir-200b	MI0000342	chr1	+	1102484	1102578	hsa-miR-200b-5p	1.56	2.14	0.79	3.01	161	TTLL10	+	6709
hsa-mir-20b	MI0001519	chrX	-	133303839	133303907	hsa-miR-20b-5p	36.09	89.45	27.19	58.06	312	CCDC160	+	-67171
hsa-mir-192	MI0000234	chr11	-	64658609	64658718	hsa-miR-192-5p	268	366.86	281	165.94	50230.3	ATG2A	-	-3287
hsa-mir-3659	MI0016060	chr1	+	38554903	38555001	hsa-miR-3659	0.67	0.24	0.39	0.95	0.54	POU3F1	-	-42454
hsa-mir-331	MI0000812	chr12	+	95702196	95702289	hsa-miR-331-5p	24.95	10.94	3.15	19.35	2.86	VEZT	+	-5631
hsa-mir-4733	MI0017370	chr17	-	29421368	29421443	none	0	0	0	0	0	NF1	+	-503
hsa-mir-4770	MI0017411	chrX	-	6301947	6302004	hsa-miR-4770	1.56	40.68	29.56	5.71	72.64	VCX3A	-	-149656
hsa-mir-3913-1	MI0016417	chr12	-	69978502	69978603	hsa-miR-3913-5p	0	2.62	3.15	1.11	5.18	CCT2	+	-606
hsa-mir-219b	MI0017299	chr9	+	131154900	131154987	none	0	0	0	0	0	URM1	+	-606
hsa-mir-4662b	MI0017293	chr8	-	125834220	125834300	hsa-miR-4662b	0	0.24	0	0	0	MTSS1	-	93491
hsa-mir-3147	MI0014173	chr7	+	57472731	57472796	none	0	0	0	0	0	ZNF716	+	37088
hsa-mir-3591	MI0017383	chr18	-	56118312	56118384	hsa-miR-3591-5p	0	2.38	0	0	0	ALPK2	-	-30099
hsa-mir-4652	MI0017280	chr7	+	93346240	93346317	hsa-miR-4652-5p	0	0	0	0	0.18	CALCR	-	-142199
hsa-mir-1321	MI0006652	chrX	+	85090785	85090863	none	0	0	0	0	0	CHM	-	25323
hsa-mir-517b	MI0003165	chr19	+	54224330	54224396	hsa-miR-517-5p	0	0.24	0.39	0	0	NLRP12	-	72460
hsa-mir-4689	MI0017322	chr1	-	5922732	5922801	none	0	0	0	0	0	NPHP4	-	-70
hsa-mir-1285-2	MI0006347	chr2	-	70480050	70480137	hsa-miR-1285-3p	0.45	2.14	1.58	0.95	0.36	TIA1	-	4272
hsa-mir-4999	MI0017865	chr19	-	8454174	8454264	hsa-miR-4999-5p	0.22	0.95	0	0.63	0.71	RAB11B-AS1	-	0
hsa-mir-519a-2	MI0003182	chr19	+	54265598	54265684	hsa-miR-519a-3p	0	0	3.15	0	0	NLRP12	-	31172
hsa-mir-5188	MI0018167	chr12	+	125400093	125400205	hsa-miR-5188	0	0	0	0.16	0	UBC	-	-507
hsa-mir-503	MI0003188	chrX	-	133680358	133680428	hsa-miR-503-5p	0	1.19	25.22	0.79	9.82	MGC16121	-	0
hsa-mir-4289	MI0015898	chr9	-	91360751	91360820	none	0	0	0	0	0	LOC286238	-	93677
hsa-mir-124-2	MI0000444	chr8	+	65291706	65291814	hsa-miR-124-5p	24.06	0	0	12.37	0.18	LOC100130155	+	-321
hsa-mir-27a	MI0000085	chr19	-	13947254	13947331	hsa-miR-27a-3p	50.35	3890.77	830.38	475.62	2124.72	LOC284454	-	152
hsa-mir-4448	MI0016791	chr3	+	183604588	183604673	hsa-miR-4448	1.11	0.24	0	0.16	0	PARL	-	-1896
hsa-mir-4272	MI0015880	chr3	+	67275888	67275951	none	0	0	0	0	0	SUCLG2	-	134934
hsa-mir-384	MI0001145	chrX	-	76139698	76139785	none	0	0	0	0	0	MAGEE1	+	487953
hsa-mir-4792	MI0017439	chr3	-	24562853	24562926	hsa-miR-4792	0	0.24	0	0	0	LOC644990	+	21352
hsa-mir-3681	MI0016082	chr2	+	12339256	12339327	hsa-miR-3681-5p	0.22	0.24	0.79	0	0.18	LPIN1	+	-371724
hsa-mir-6511b-2	MI0023431	chr16	-	15227932	15228002	hsa-miR-6511b-5p	0.67	0	0	0.32	0.18	RRN3	-	39775
hsa-mir-376c	MI0000776	chr14	+	101506027	101506092	hsa-miR-376c-3p	9.8	15.7	175.77	3.97	7.5	MEG9	+	30157
hsa-mir-3960	MI0016964	chr9	+	130548112	130548202	none	0	0	0	0	0	CDK9	+	104
hsa-mir-155	MI0000681	chr21	+	26946292	26946356	none	0	0	0	0	0	LINC00515	-	8732
hsa-mir-520c	MI0003158	chr19	+	54210707	54210793	hsa-miR-520c-3p	0	0	24.04	0	0	DPRX	+	-70445
hsa-mir-515-2	MI0003147	chr19	+	54188263	54188345	hsa-miR-515-5p	0	0	10.25	0	0	DPRX	+	-48001
hsa-mir-4679-2	MI0017311	chr10	-	90823092	90823168	hsa-miR-4679	0	0.48	0	0	0.54	FAS	+	47551
hsa-mir-374b	MI0005566	chrX	-	73438382	73438453	hsa-miR-374b-3p	1.11	9.52	6.7	3.65	3.39	FTX	-	0
hsa-mir-10b	MI0000267	chr2	+	177015031	177015140	hsa-miR-10b-3p	0	1.19	12.61	0	16.06	HOXD4	+	974
hsa-mir-544a	MI0003515	chr14	+	101514995	101515085	hsa-miR-544a	0	0.24	0.79	0	0	MEG9	+	21164
hsa-mir-125a	MI0000469	chr19	+	52196507	52196592	hsa-miR-125a-5p	23799.7	4214.32	1157.88	6208.92	2380.67	LINC00085	+	2
hsa-mir-4534	MI0016901	chr22	+	38384801	38384860	none	0	0	0	0	0	SOX10	-	-4263
hsa-mir-6511a-3	MI0023565	chr16	+	16462733	16462799	hsa-miR-6511a-5p	0.22	0	0.39	0.32	0	PKD1P1	+	-18269
hsa-mir-3180-1	MI0014214	chr16	+	15005077	15005170	hsa-miR-3180-3p	12.92	0.24	2.76	5.08	0	NOMO1	+	-15064
hsa-mir-583	MI0003590	chr5	+	95414842	95414916	none	0	0	0	0	0	ELL2	-	-117068
hsa-mir-4328	MI0015904	chrX	-	78156691	78156746	none	0	0	0	0	0	P2RY10	+	-44084
hsa-mir-4521	MI0016887	chr17	+	8090263	8090322	hsa-miR-4521	0	0.48	0	0	0	C17orf59	-	1330
hsa-mir-4737	MI0017374	chr17	-	58120386	58120466	none	0	0	0	0	0	HEATR6	-	-87
hsa-mir-376b	MI0002466	chr14	+	101506773	101506872	none	0	0	0	0	0	MEG9	+	29377
hsa-mir-889	MI0005540	chr14	+	101514238	101514316	hsa-miR-889-5p	11.81	0.48	0.79	6.35	0	MEG9	+	21933
hsa-mir-202	MI0003130	chr10	-	135061015	135061124	hsa-miR-202-5p	0.22	0.48	843.78	0.16	0	VENTX	+	5583
hsa-mir-6859-2	MI0026420	chr15	+	102513727	102513794	hsa-miR-6859-5p	6.68	3.09	1.58	17.45	3.75	WASH3P	+	0
hsa-mir-3171	MI0014202	chr14	-	28102411	28102484	none	0	0	0	0	0	LINC00645	+	0
hsa-mir-526a-2	MI0003168	chr19	+	54230176	54230240	hsa-miR-526a	0	0	0.39	0	0	NLRP12	-	66616
hsa-mir-3924	MI0016432	chr10	-	59064239	59064319	none	0	0	0	0	0	IPMK	-	-886960
hsa-mir-429	MI0001641	chr1	+	1104385	1104467	hsa-miR-429	0.45	4.04	1.97	1.9	1410.59	TTLL10	+	4820
hsa-mir-196b	MI0001150	chr7	-	27209099	27209182	hsa-miR-196b-5p	0.22	5.71	3.55	0.79	1885.19	HOXA-AS4	+	0
hsa-mir-196b	MI0001150	chr7	-	27209099	27209182	hsa-miR-196b-5p	0.22	5.71	3.55	0.79	1885.19	HOXA10-HOXA9	-	0
hsa-mir-5011	MI0017879	chr18	+	64748821	64748923	none	0	0	0	0	0	DSEL	-	424897
hsa-mir-34c	MI0000743	chr11	+	111384164	111384240	hsa-miR-34c-3p	5.12	0.71	184.44	11.11	0.54	BTG4	-	-1086
hsa-mir-516a-2	MI0003181	chr19	+	54264387	54264476	hsa-miR-516a-5p	0	0.24	8.67	0.48	0	NLRP12	-	32380
hsa-mir-513b	MI0006648	chrX	-	146280562	146280645	hsa-miR-513b-5p	0	0	72.12	0	0	CXorf51A	-	384314
hsa-mir-513b	MI0006648	chrX	-	146280562	146280645	hsa-miR-513b-5p	0	0	72.12	0	0	CXorf51B	-	384314
hsa-mir-4447	MI0016790	chr3	-	116569124	116569214	none	0	0	0	0	0	LSAMP-AS3	+	133238
hsa-mir-18a	MI0000072	chr13	+	92003005	92003075	hsa-miR-18a-5p	1.34	43.06	62.66	7.62	20.53	GPC5	+	47861
hsa-mir-138-1	MI0000476	chr3	+	44155704	44155802	hsa-miR-138-5p	373.59	13.8	18.52	1575.99	307	TOPAZ1	+	127577
hsa-mir-100	MI0000102	chr11	-	122022937	122023016	hsa-miR-100-5p	724.69	1527.85	469.77	1267.58	1026.31	BLID	-	36015
hsa-mir-3936	MI0016592	chr5	-	131701182	131701291	hsa-miR-3936	0.89	0.71	0	1.59	0	LOC553103	-	0
hsa-mir-3159	MI0014188	chr11	+	18409334	18409407	hsa-miR-3159	0.22	0	0	0	0.36	LDHA	+	6530
hsa-mir-143	MI0000459	chr5	+	148808481	148808586	hsa-miR-143-3p	10965.7	442661	425913	35732	453473	IL17B	-	-49644
hsa-mir-492	MI0003131	chr12	+	95228174	95228289	none	0	0	0	0	0	KRT19P2	+	0
hsa-mir-6127	MI0021271	chr1	-	22959751	22959859	none	0	0	0	0	0	C1QA	+	-3260
hsa-mir-23a	MI0000079	chr19	-	13947401	13947473	none	0	0	0	0	0	LOC284454	-	299
hsa-mir-4710	MI0017344	chr14	-	105144031	105144086	none	0	0	0	0	0	INF2	+	-11858
hsa-mir-4425	MI0016764	chr1	+	25349994	25350077	none	0	0	0	0	0	RUNX3	-	-58494
hsa-mir-4307	MI0015838	chr14	+	27377848	27377931	none	0	0	0	0	0	NOVA1	-	-310889
hsa-mir-551b	MI0003575	chr3	+	168269642	168269737	hsa-miR-551b-3p	0	0.48	3.15	2.06	0.71	EGFEM1P	+	0
hsa-let-7a-1	MI0000060	chr9	+	96938239	96938318	hsa-let-7a-5p	561489	184921	87834.8	187022	81620.8	PTPDC1	+	-66102
hsa-mir-520f	MI0003146	chr19	+	54185413	54185499	hsa-miR-520f-3p	0	0	91.04	0	0	DPRX	+	-45151
hsa-mir-138-2	MI0000455	chr16	+	56892430	56892513	hsa-miR-138-2-3p	2.9	0.24	0	12.22	0.89	SLC12A3	+	6607
hsa-mir-371a	MI0000779	chr19	+	54290929	54290995	hsa-miR-371a-5p	0	0.48	10.25	0	0.54	NLRP12	-	5861
hsa-mir-129-1	MI0000252	chr7	+	127847925	127847996	hsa-miR-129-5p	3481.53	5.95	109.17	4718.13	70.68	LEP	+	33336
hsa-mir-8071-2	MI0026417	chr14	+	106106505	106106569	none	0	0	0	0	0	ELK2AP	-	29346
hsa-mir-5194	MI0018173	chr8	-	131020580	131020699	none	0	0	0	0	0	FAM49B	-	0
hsa-mir-8056	MI0025892	chr5	+	172774458	172774539	none	0	0	0	0	0	STC2	-	-17953
hsa-mir-200c	MI0000650	chr12	+	7072862	7072929	hsa-miR-200c-3p	65.5	15.7	12.61	44.58	3670.96	PHB2	-	1587
hsa-mir-5692b	MI0019311	chr21	-	44371038	44371124	none	0	0	0	0	0	PKNOX1	+	-23520
hsa-mir-20a	MI0000076	chr13	+	92003319	92003389	hsa-miR-20a-3p	0.22	2.38	3.55	0	3.03	GPC5	+	47547
hsa-mir-4638	MI0017265	chr5	-	180649566	180649633	hsa-miR-4638-5p	0.89	0.24	0	0.63	0.36	TRIM41	+	-631
hsa-mir-539	MI0003514	chr14	+	101513658	101513735	hsa-miR-539-5p	44.11	0.48	1.97	29.67	0.54	MEG9	+	22514
hsa-mir-4786	MI0017433	chr2	-	240882432	240882511	hsa-miR-4786-5p	0.22	1.43	0.39	0.16	0	NDUFA10	-	-14279
hsa-mir-1972-2	MI0015977	chr16	+	70064249	70064325	none	0	0	0	0	0	PDXDC2P	-	0
hsa-mir-5787	MI0019797	chr3	+	50264868	50264922	none	0	0	0	0	0	SLC38A3	+	-6463
hsa-mir-1304	MI0006371	chr11	-	93466840	93466930	none	0	0	0	0	0	SNORA18	-	78
hsa-mir-29b-2	MI0000107	chr1	-	207975788	207975868	hsa-miR-29b-3p	3.79	113.96	256.56	128.5	255.24	CD46	+	6928
hsa-mir-3142	MI0014166	chr5	+	159901409	159901490	none	0	0	0	0	0	PTTG1	+	-45664
hsa-mir-5093	MI0017982	chr16	-	85339832	85339931	none	0	0	0	0	0	LINC00311	+	18148
hsa-mir-509-2	MI0005530	chrX	-	146340278	146340368	hsa-miR-509-5p	0	0	122.57	0	0.71	CXorf51A	-	444030
hsa-mir-509-2	MI0005530	chrX	-	146340278	146340368	hsa-miR-509-5p	0	0	122.57	0	0.71	CXorf51B	-	444030
hsa-mir-3939	MI0016596	chr6	-	167411295	167411400	hsa-miR-3939	0	0.24	0	0	0	FGFR1OP	+	-1417
hsa-mir-206	MI0000490	chr6	+	52009147	52009232	hsa-miR-206	4522.11	67.8	4.73	32.68	150.64	IL17A	+	41954
hsa-mir-514b	MI0014251	chrX	-	146331669	146331748	hsa-miR-514b-5p	0	0	214.79	0	1.07	CXorf51A	-	435421
hsa-mir-514b	MI0014251	chrX	-	146331669	146331748	hsa-miR-514b-5p	0	0	214.79	0	1.07	CXorf51B	-	435421
hsa-mir-519b	MI0003151	chr19	+	54198467	54198547	hsa-miR-519b-5p	0	0	2.36	0.16	0	DPRX	+	-58205
hsa-mir-1302-1	MI0006362	chr12	-	113132839	113132981	none	0	0	0	0	0	RPH3A	+	-96569
hsa-mir-6511a-4	MI0023566	chr16	-	18437870	18437936	hsa-miR-6511a-3p	26.51	1.67	0	16.02	0.71	NOMO2	-	-73247
hsa-mir-92a-2	MI0000094	chrX	-	133303568	133303642	none	0	0	0	0	0	CCDC160	+	-67436
hsa-mir-125b-2	MI0000470	chr21	+	17962557	17962645	hsa-miR-125b-2-3p	95.35	125.38	39.02	170.23	43.19	LINC00478	+	0
hsa-mir-520d	MI0003164	chr19	+	54223350	54223436	hsa-miR-520d-3p	0.45	0	1.18	0.32	0	NLRP12	-	73420
hsa-mir-568	MI0003574	chr3	-	114035322	114035416	none	0	0	0	0	0	TIGIT	+	6188
hsa-mir-4530	MI0016897	chr19	-	39900263	39900318	none	0	0	0	0	0	ZFP36	+	212
hsa-mir-154	MI0000480	chr14	+	101526092	101526175	hsa-miR-154-5p	8.24	3.57	11.43	2.7	1.61	MEG9	+	10074
hsa-mir-219a-1	MI0000296	chr6	+	33175612	33175721	hsa-miR-219a-1-3p	3.12	0.95	1.18	1.9	3.03	RING1	+	566
hsa-mir-4267	MI0015871	chr2	-	110827538	110827619	none	0	0	0	0	0	MALL	-	-13829
hsa-mir-4280	MI0015889	chr5	-	86410696	86410771	none	0	0	0	0	0	RASA1	+	-153300
hsa-mir-195	MI0000489	chr17	-	6920934	6921020	hsa-miR-195-5p	277.58	724.2	1936.23	103.12	507.62	C17orf49	+	92
hsa-mir-195	MI0000489	chr17	-	6920934	6921020	hsa-miR-195-5p	277.58	724.2	1936.23	103.12	507.62	RNASEK-C17orf49	+	92
hsa-mir-3135b	MI0016809	chr6	-	32717689	32717756	none	0	0	0	0	0	HLA-DQA2	+	3026
hsa-mir-135b	MI0000810	chr1	-	205417430	205417526	hsa-miR-135b-3p	6.46	0	4.34	0.48	1.25	LEMD1	-	26217
hsa-mir-518c	MI0003159	chr19	+	54211989	54212089	hsa-miR-518c-3p	0	0	3.94	0	0	DPRX	+	-71727
hsa-mir-466	MI0014157	chr3	-	31203196	31203279	none	0	0	0	0	0	GADL1	-	267044
hsa-mir-510	MI0003197	chrX	-	146353853	146353926	hsa-miR-510-5p	0	0	74.88	0	1.78	CXorf51A	-	457605
hsa-mir-510	MI0003197	chrX	-	146353853	146353926	hsa-miR-510-5p	0	0	74.88	0	1.78	CXorf51B	-	457605
hsa-mir-410	MI0002465	chr14	+	101532249	101532328	hsa-miR-410-3p	77.08	5.23	26.8	132.47	2.68	MEG9	+	3921
hsa-mir-8068	MI0025904	chr11	-	28499028	28499095	none	0	0	0	0	0	METTL15	+	143975
hsa-mir-3118-5	MI0014243	chr21	-	15017096	15017171	none	0	0	0	0	0	POTED	+	3191
hsa-mir-183	MI0000273	chr7	-	129414745	129414854	hsa-miR-183-3p	0.22	0	0.39	0	0.18	NRF1	+	17824
hsa-mir-4472-1	MI0016823	chr8	+	143257700	143257779	none	0	0	0	0	0	LINC00051	+	21939
hsa-mir-4738	MI0017376	chr17	-	73780602	73780688	hsa-miR-4738-3p	0.45	0	0	0	0	UNK	+	-233
hsa-mir-197	MI0000239	chr1	+	110141515	110141589	hsa-miR-197-5p	0	0.24	0	0	0	GNAI3	+	-3062
hsa-mir-7641-1	MI0024975	chr11	+	104123319	104123379	none	0	0	0	0	0	PDGFD	-	-88293
hsa-mir-1283-1	MI0003832	chr19	+	54191735	54191821	hsa-miR-1283	0	0	2.76	0	0	DPRX	+	-51473
hsa-mir-3669	MI0016070	chr8	-	130509594	130509674	none	0	0	0	0	0	GSDMC	-	-250769
hsa-mir-4788	MI0017435	chr3	+	134156669	134156748	hsa-miR-4788	0	0.24	0	0	0	ANAPC13	-	39799
