precursor	mirbase_id	chr	strand	start	end	type	intron_exon_pos	orientation_to_host	distance_upstream_exon	exp_mature	host_symbol	host_start	host_end	host_strand	Cerebellum	Heart	Testis	Brain	Kidney
hsa-mir-6781	MI0022626	chr17	-	40975898	40975961	intronic	1	sense	190	none	BECN1	40962150	40976310	-	0	0	0	0	0
hsa-mir-4518	MI0016884	chr16	+	30515240	30515322	intronic	15	sense	4430	none	ITGAL	30483983	30534506	+	0	0	0	0	0
hsa-mir-6746	MI0022591	chr11	-	61645688	61645750	intronic	5	sense	234	none	FADS3	61640998	61659006	-	0	0	0	0	0
hsa-mir-4767	MI0017408	chrX	+	7065901	7065978	intronic	1	antisense	116	hsa-miR-4767	HDHD1	6966961	7066231	-	0.45	0	0	0	0
hsa-mir-619	MI0003633	chr12	-	109230684	109230782	intronic	2	sense	15632	none	SSH1	109176466	109251359	-	0	0	0	0	0
hsa-mir-133a-1	MI0000450	chr18	-	19405659	19405746	intronic	12	antisense	6052	hsa-miR-133a-5p	MIB1	19321545	19450912	+	0	115.15	0.39	0	0.18
hsa-mir-4484	MI0016845	chr10	+	127508309	127508391	intronic	1	antisense	3207	hsa-miR-4484	UROS	127477147	127511837	-	0	1.19	0	0	0.71
hsa-mir-4260	MI0015859	chr1	-	209796789	209796855	exonic	16	sense	0	none	LAMB3	209788218	209825820	-	0	0	0	0	0
hsa-mir-3130-2	MI0014148	chr2	+	207647958	207648032	intronic	7	sense	8837	hsa-miR-3130-3p	FASTKD2	207630112	207660911	+	0	0.24	0	0	0.18
hsa-mir-6826	MI0022671	chr3	+	128990989	128991086	intronic	19	sense	237	none	COPG1	128968453	128996616	+	0	0	0	0	0
hsa-mir-3195	MI0014240	chr20	+	60639858	60639941	exonic	1	antisense	0	hsa-miR-3195	TAF4	60549854	60640866	-	0	0.24	0.39	0	0.18
hsa-mir-4676	MI0017307	chr10	+	74480787	74480858	intronic	1	sense	28728	hsa-miR-4676-5p	MCU	74451889	74647452	+	0.22	0	0.39	0	0
hsa-mir-6734	MI0022579	chr1	-	43830319	43830386	intronic	4	sense	23	hsa-miR-6734-3p	ELOVL1	43829068	43833745	-	0.22	0	0	0.16	0
hsa-mir-548an	MI0016907	chrX	+	105883044	105883126	intronic	9	sense	127	hsa-miR-548an	CXorf57	105855160	105922673	+	0	0.24	0	0	0.18
hsa-mir-3155a	MI0014183	chr10	+	6194159	6194240	intronic	1	sense	7183	none	PFKFB3	6186843	6277507	+	0	0	0	0	0
hsa-mir-640	MI0003655	chr19	+	19545872	19545967	intronic	1	sense	48925	none	GATAD2A	19496642	19619741	+	0	0	0	0	0
hsa-mir-302d	MI0000774	chr4	-	113569160	113569227	intronic	10	antisense	170	hsa-miR-302d-3p	LARP7	113558120	113578748	+	0.22	3.81	0	0	0
hsa-mir-6774	MI0022619	chr16	+	85951953	85952022	intronic	6	sense	3827	none	IRF8	85932774	85956211	+	0	0	0	0	0
hsa-mir-23c	MI0016010	chrX	-	20035206	20035305	intronic	9	sense	7764	none	MAP7D2	20024831	20135114	-	0	0	0	0	0
hsa-mir-1976	MI0009986	chr1	+	26881033	26881084	intronic	8	sense	291	hsa-miR-1976	RPS6KA1	26856249	26901520	+	10.25	0.48	0	3.01	1.25
hsa-mir-6740	MI0022585	chr1	+	201972252	201972364	intronic	8	sense	1357	hsa-miR-6740-3p	RNPEP	201951766	201975275	+	0.22	0	0	0	0
hsa-mir-653	MI0003674	chr7	-	93112072	93112167	intronic	3	sense	4076	hsa-miR-653-5p	CALCR	93053799	93204042	-	0	0	0	0	0.71
hsa-mir-148b	MI0000811	chr12	+	54731000	54731098	intronic	1	sense	12035	hsa-miR-148b-5p	COPZ1	54718911	54745633	+	36.31	170.82	55.17	59.33	232.39
hsa-mir-615	MI0003628	chr12	+	54427734	54427829	intronic	1	sense	374	hsa-miR-615-5p	HOXC5	54410642	54429144	+	0	0	0.39	0	0.54
hsa-mir-339	MI0000815	chr7	-	1062569	1062662	intronic	2	sense	104231	hsa-miR-339-5p	C7orf50	1036623	1177893	-	20.05	11.9	37.44	17.61	7.67
hsa-mir-7150	MI0023610	chr9	-	126247808	126247901	intronic	13	sense	71948	none	DENND1A	126141933	126692417	-	0	0	0	0	0
hsa-mir-7855	MI0025525	chr14	-	65252344	65252404	exonic	17	sense	0	hsa-miR-7855-5p	SPTB	65213001	65289866	-	1.78	0.24	0	0	0
hsa-mir-934	MI0005756	chrX	+	135633037	135633119	intronic	4	sense	57	hsa-miR-934	VGLL1	135614311	135638966	+	0	0	0	0	1.61
hsa-mir-664b	MI0019134	chrX	+	153996871	153996931	intronic	8	sense	164	hsa-miR-664b-5p	DKC1	153991031	154005964	+	19.6	7.14	36.65	29.67	6.07
hsa-mir-5090	MI0017979	chr7	+	102106189	102106273	exonic	2	sense	0	hsa-miR-5090	LRWD1	102105390	102113612	+	0.67	0	0.39	0.48	0.54
hsa-mir-3713	MI0016134	chr15	+	76878988	76879032	intronic	21	antisense	35073	none	SCAPER	76640527	77176217	-	0	0	0	0	0
hsa-mir-208a	MI0000251	chr14	-	23857805	23857875	intronic	29	sense	193	hsa-miR-208a-3p	MYH6	23851199	23877486	-	0	0.95	0.39	0	0
hsa-mir-7847	MI0025517	chr11	+	1901275	1901377	exonic	2	sense	0	none	LSP1	1874200	1913493	+	0	0	0	0	0
hsa-mir-1268b	MI0016748	chr17	+	78072627	78072676	intronic	19	sense	1425	hsa-miR-1268b	CCDC40	78010431	78074412	+	0.45	0.24	0	0.79	0.18
hsa-mir-597	MI0003609	chr8	+	9599182	9599278	intronic	17	sense	6186	hsa-miR-597-5p	TNKS	9413445	9639856	+	0	0	0	0.16	0
hsa-mir-4799	MI0017446	chr4	+	148703746	148703819	intronic	1	sense	50140	hsa-miR-4799-5p	ARHGAP10	148653453	148993927	+	0	0.24	0	0	0
hsa-mir-3202-2	MI0014253	chrX	-	153246549	153246627	intronic	1	antisense	8238	hsa-miR-3202	TMEM187	153237991	153248646	+	0	0	0.79	0	0.18
hsa-mir-2276	MI0011282	chr13	+	24736555	24736643	intronic	1	sense	1484	hsa-miR-2276-3p	SPATA13	24734861	24881212	+	3.34	0.48	0.39	5.87	0.36
hsa-mir-3135a	MI0014156	chr3	+	20179057	20179133	intronic	12	sense	513	hsa-miR-3135a	KAT2B	20081524	20195896	+	0.22	0.48	0	0.16	0
hsa-mir-6851	MI0022697	chr9	-	33467867	33467933	intronic	11	sense	95	hsa-miR-6851-5p	NOL6	33461351	33473941	-	0.22	0	0	0	0
hsa-mir-6833	MI0022678	chr6	+	32147593	32147653	intronic	3	sense	53	none	RNF5	3525991	3528397	+	0	0	0	0	0
hsa-mir-4771-2	MI0017413	chr2	-	112528638	112528711	intronic	47	sense	1207	none	ANAPC1	112525214	112641741	-	0	0	0	0	0
hsa-mir-5587	MI0019144	chr16	+	585316	585368	intronic	2	sense	1318	hsa-miR-5587-5p	SOLH	577856	604636	+	0.22	0	0	0	0
hsa-mir-3152	MI0014179	chr9	+	18573304	18573377	intronic	3	sense	40014	hsa-miR-3152-5p	ADAMTSL1	18474079	18910947	+	0	0	0	0	0.54
hsa-mir-5704	MI0019312	chr3	-	131704699	131704775	intronic	1	sense	48636	none	CPNE4	131253577	131753844	-	0	0	0	0	0
hsa-mir-3654	MI0016054	chr7	-	132719620	132719675	intronic	2	sense	35227	hsa-miR-3654	CHCHD3	132469623	132766828	-	0	0	0	0.16	0
hsa-mir-6873	MI0022720	chr6	-	33255004	33255066	intronic	8	sense	66	hsa-miR-6873-3p	WDR46	4690690	4701118	-	0.45	0.24	0	0.16	0
hsa-mir-548at	MI0019137	chr17	+	40646791	40646848	intronic	12	sense	300	hsa-miR-548at-3p	ATP6V0A1	40610862	40674597	+	0	0.24	0	0	0
hsa-mir-7160	MI0023621	chr8	+	2024669	2024720	intronic	11	sense	307	hsa-miR-7160-5p	MYOM2	1993158	2093380	+	0	0.48	0	0	0
hsa-mir-1252	MI0006434	chr12	+	79813037	79813101	intronic	9	sense	65638	hsa-miR-1252-5p	SYT1	79257773	79845788	+	0	0	0	1.27	0
hsa-mir-6511b-1	MI0022552	chr16	-	2156670	2156754	exonic	18	sense	0	hsa-miR-6511b-5p	PKD1	2138711	2185899	-	0.67	0	0	0.32	0.18
hsa-mir-105-2	MI0000112	chrX	-	151562884	151562964	intronic	1	sense	56654	hsa-miR-105-5p	GABRA3	151335634	151619831	-	71.51	0	3.94	66.47	0
hsa-mir-4728	MI0017365	chr17	+	37882748	37882814	intronic	26	sense	642	hsa-miR-4728-3p	ERBB2	37844393	37884915	+	0	0.24	0	0	0
hsa-mir-30e	MI0000749	chr1	+	41220027	41220118	intronic	5	sense	1109	hsa-miR-30e-3p	NFYC	41157242	41237275	+	110.5	7383.98	1036.49	893.33	1635.31
hsa-mir-6768	MI0022613	chr16	+	2513968	2514039	intronic	8	sense	1235	none	C16orf59	2510115	2514964	+	0	0	0	0	0
hsa-mir-135a-1	MI0000452	chr3	-	52328235	52328324	exonic	5	antisense	0	none	GLYCTK	52321836	52329272	+	0	0	0	0	0
hsa-mir-5092	MI0017981	chr3	-	124870309	124870396	intronic	4	sense	26191	none	SLC12A8	124801480	124931609	-	0	0	0	0	0
hsa-mir-624	MI0003638	chr14	-	31483852	31483948	intronic	1	sense	11162	none	STRN3	31363005	31495607	-	0	0	0	0	0
hsa-mir-6790	MI0022635	chr19	-	6392932	6392994	intronic	1	sense	1	none	GTF2F1	6379580	6393291	-	0	0	0	0	0
hsa-mir-8073	MI0025909	chr13	+	110993305	110993376	intronic	3	sense	32835	none	COL4A2	110959631	111165373	+	0	0	0	0	0
hsa-mir-3125	MI0014142	chr2	+	12877493	12877570	intronic	2	sense	13815	hsa-miR-3125	TRIB2	12856998	12882858	+	0.22	9.04	0	0.32	2.68
hsa-mir-1537	MI0007258	chr1	-	236016300	236016360	intronic	1	sense	13783	none	LYST	235824345	236030220	-	0	0	0	0	0
hsa-mir-1276	MI0006416	chr15	-	86313727	86313809	intronic	1	sense	24188	hsa-miR-1276	KLHL25	86302559	86338189	-	1.78	0.48	1.18	3.97	1.07
hsa-mir-4730	MI0017367	chr17	+	78393218	78393293	intronic	2	sense	3597	hsa-miR-4730	ENDOV	78388967	78411884	+	0.22	0	0	0	0.36
hsa-mir-6501	MI0022213	chr21	+	34922968	34923034	exonic	3	sense	0	hsa-miR-6501-5p	SON	34915350	34949812	+	0	0.95	0.79	0.16	0
hsa-mir-4504	MI0016867	chr14	-	50766573	50766664	intronic	3	sense	2071	hsa-miR-4504	L2HGDH	50709152	50778947	-	0	0.71	0	0.48	4.28
hsa-mir-3938	MI0016594	chr3	-	55886520	55886622	intronic	13	sense	35795	hsa-miR-3938	ERC2	55542336	56502391	-	4.01	0	0	2.22	0.18
hsa-mir-5691	MI0019296	chr11	-	9111859	9111926	intronic	1	sense	1017	none	SCUBE2	9041047	9113150	-	0	0	0	0	0
hsa-mir-4515	MI0016881	chr15	+	83736087	83736167	exonic	8	antisense	0	hsa-miR-4515	BTBD1	83685181	83736106	-	2.67	0	0.39	0.32	0
hsa-mir-7976	MI0025752	chr3	-	127305954	127306019	intronic	1	sense	3234	none	TPRA1	127291907	127309602	-	0	0	0	0	0
hsa-mir-1278	MI0006425	chr1	+	193105633	193105713	intronic	5	sense	914	hsa-miR-1278	CDC73	193091088	193223942	+	0	1.19	0.79	0.16	0.18
hsa-mir-4759	MI0017400	chr21	+	28326280	28326362	intronic	2	antisense	696	none	ADAMTS5	28290231	28339439	-	0	0	0	0	0
hsa-mir-490	MI0003125	chr7	+	136587914	136588041	intronic	2	sense	33749	hsa-miR-490-3p	CHRM2	136553399	136701771	+	10.69	98.26	0.79	20.94	0.18
hsa-mir-580	MI0003587	chr5	-	36147994	36148090	intronic	1	sense	3568	hsa-miR-580-3p	LMBRD2	36103414	36152015	-	0	1.19	0.39	0.32	1.61
hsa-mir-338	MI0000814	chr17	-	79099683	79099749	intronic	7	sense	478	hsa-miR-338-3p	AATK	79091096	79139872	-	77.3	33.55	25.62	338.55	30.7
hsa-mir-6893	MI0022740	chr8	-	145660934	145661002	intronic	17	sense	39	none	TONSL	145654163	145669812	-	0	0	0	0	0
hsa-mir-6796	MI0022641	chr19	+	40875753	40875814	intronic	6	sense	1967	hsa-miR-6796-5p	PLD3	40854332	40884390	+	0.45	0	0	0	0
hsa-mir-1296	MI0003780	chr10	-	65132717	65132808	intronic	2	sense	7270	hsa-miR-1296-5p	JMJD1C	64926988	65225722	-	398.77	5.95	14.19	141.04	2.32
hsa-mir-629	MI0003643	chr15	-	70371711	70371807	intronic	4	sense	15064	hsa-miR-629-5p	TLE3	70340543	70390256	-	20.05	25.22	33.5	23.16	34.63
hsa-mir-642a	MI0003657	chr19	+	46178186	46178282	intronic	7	sense	102	hsa-miR-642a-5p	GIPR	46171502	46185717	+	0.45	1.43	0	0.95	0.18
hsa-mir-590	MI0003602	chr7	+	73605528	73605624	intronic	5	sense	892	hsa-miR-590-5p	EIF4H	73588706	73611429	+	0	8.33	8.28	0.95	4.28
hsa-mir-378a	MI0000786	chr5	+	149112388	149112453	intronic	1	sense	2405	hsa-miR-378a-3p	PPARGC1B	149109815	149234585	+	22322.9	687897	8436.98	9188.13	150397
hsa-mir-511	MI0003127	2	chr10	+	18134036	18134122	0	5	++	none	NULL	MRC1	17851362	17953178	+	0	0	0	0	0
hsa-mir-4798	MI0017445	chr4	+	7312177	7312251	intronic	1	sense	117324	hsa-miR-4798-5p	SORCS2	7194374	7744564	+	0	0.48	1.97	0.79	0.18
hsa-mir-126	MI0000471	chr9	+	139565054	139565138	intronic	6	sense	272	hsa-miR-126-3p	EGFL7	139553308	139567130	+	600.38	65561.6	3202.1	3636.16	15971.3
hsa-mir-6808	MI0022653	chr1	-	1275030	1275088	intronic	9	sense	28	hsa-miR-6808-3p	DVL1	1270658	1284492	-	0.89	0	0	0.16	0
hsa-mir-33a	MI0000091	chr22	+	42296948	42297016	intronic	16	sense	446	hsa-miR-33a-5p	SREBF2	42229106	42302375	+	8.02	29.98	63.84	26.49	29.63
hsa-mir-4705	MI0017338	chr13	-	102698284	102698354	intronic	1	sense	355467	hsa-miR-4705	FGF14	102373205	103054124	-	1.34	0.71	0.79	0.63	0.18
hsa-mir-6769a	MI0022614	chr16	+	4721319	4721391	intronic	8	sense	3006	none	MGRN1	4674825	4740975	+	0	0	0	0	0
hsa-mir-6769b	MI0022706	chr1	+	206648146	206648207	intronic	4	sense	332	none	IKBKE	206643586	206670223	+	0	0	0	0	0
hsa-mir-664a	MI0006442	chr1	-	220373880	220373961	intronic	9	sense	1657	hsa-miR-664a-5p	RAB3GAP2	220321610	220445843	-	0.45	0.24	0.39	0.63	0
hsa-mir-4264	MI0015877	chr2	-	79876420	79876485	intronic	1	antisense	136087	none	CTNNA2	79740060	80875988	+	0	0	0	0	0
hsa-mir-7106	MI0022957	chr12	-	113596918	113596982	intronic	19	sense	2093	none	DDX54	113594978	113623284	-	0	0	0	0	0
hsa-mir-4446	MI0016789	chr3	+	113313723	113313789	intronic	10	sense	1828	hsa-miR-4446-3p	SIDT1	113251218	113348422	+	46.56	0.24	0	26.65	1.07
hsa-mir-6803	MI0022648	chr19	-	55756554	55756618	intronic	4	sense	15	hsa-miR-6803-3p	PPP6R1	55741147	55770038	-	2.45	0.24	0.39	0.79	0
hsa-mir-499b	MI0017396	chr20	-	33578203	33578275	intronic	22	antisense	90	none	MYH7B	33543704	33590240	+	0	0	0	0	0
hsa-mir-6754	MI0022599	chr11	+	71184549	71184614	intronic	7	sense	137	hsa-miR-6754-3p	NADSYN1	71164217	71212581	+	0	0	0	0.16	0
hsa-mir-6721	MI0022556	chr6	-	32137807	32137893	exonic	6	sense	0	hsa-miR-6721-5p	AGPAT1	3397003	3406908	-	0.45	0	0	1.11	0
hsa-mir-6132	MI0021277	chr7	+	116660265	116660373	intronic	1	sense	66520	hsa-miR-6132	ST7	116593381	116870075	+	0.45	0	0	0	0
hsa-mir-887	MI0005562	chr5	+	15935291	15935369	intronic	3	sense	6681	hsa-miR-887-5p	FBXL7	15500305	15939900	+	0.22	0	0	0.32	0
hsa-mir-211	MI0000287	chr15	-	31357235	31357344	intronic	7	sense	935	hsa-miR-211-5p	TRPM1	31293264	31453476	-	0.22	0	0	0	0
hsa-mir-3934	MI0016590	chr6	+	33665905	33666011	intronic	3	antisense	2210	hsa-miR-3934-5p	MNF1	33664538	33679528	-	1.56	11.18	10.25	2.06	3.75
hsa-mir-4701	MI0017334	chr12	-	49165758	49165820	intronic	17	sense	258	none	ADCY6	49159975	49182820	-	0	0	0	0	0
hsa-mir-6833	MI0022678	chr6	+	32147593	32147653	intronic	3	sense	53	hsa-miR-6833-3p	RNF5	3407182	3409590	+	0.22	0	0	0.16	0.18
hsa-mir-6883	MI0022730	chr17	-	8048312	8048389	intronic	17	sense	887	hsa-miR-6883-3p	PER1	8043788	8055753	-	0.22	0	0	0	0
hsa-mir-16-2	MI0000115	chr3	+	160122533	160122613	intronic	5	sense	241	hsa-miR-16-5p	SMC4	160117430	160152741	+	386.29	3297.18	2647.99	582.39	1994.96
hsa-mir-4480	MI0016841	chr10	+	12620752	12620822	intronic	2	sense	25397	none	CAMK1D	12391583	12871733	+	0	0	0	0	0
hsa-mir-647	MI0003662	chr20	-	62573984	62574079	intronic	8	sense	927	none	UCKL1	62571182	62587800	-	0	0	0	0	0
hsa-mir-320c-1	MI0003778	chr18	+	19263471	19263558	intronic	4	antisense	323	hsa-miR-320c	ABHD3	19230858	19284766	-	1172.02	28.55	117.84	1018.03	50.51
hsa-mir-3145	MI0014170	chr6	-	138756350	138756431	intronic	4	sense	11707	hsa-miR-3145-5p	NHSL1	138743181	138893668	-	0	0.24	0	0	0
hsa-mir-4750	MI0017389	chr19	+	50391432	50391487	intronic	14	sense	341	hsa-miR-4750-5p	TBC1D17	50380682	50392007	+	0.22	0	0	0	0
hsa-mir-4287	MI0015895	chr8	-	27743556	27743633	intronic	7	sense	18662	none	SCARA5	27727399	27850369	-	0	0	0	0	0
hsa-mir-5582	MI0019138	chr11	-	46774675	46774742	intronic	36	sense	118	hsa-miR-5582-3p	CKAP5	46765084	46867859	-	0	0.24	0	0.16	0.18
hsa-mir-4768	MI0017409	chrX	+	17444004	17444077	intronic	1	sense	49559	hsa-miR-4768-5p	NHS	17393543	17754113	+	0	0.24	0	0	0.36
hsa-mir-3132	MI0014152	chr2	-	220413795	220413869	intronic	3	antisense	992	hsa-miR-3132	TMEM198	220408745	220415317	+	0	0.24	0	0	0
hsa-mir-4785	MI0017430	chr2	-	161264321	161264393	intronic	1	sense	85407	hsa-miR-4785	RBMS1	161128662	161350318	-	0	0.24	0.39	0.16	0
hsa-mir-6862-2	MI0026415	chr16	+	28735573	28735642	intronic	11	antisense	1	hsa-miR-6862-3p	EIF3C	28699879	28747050	+	0.22	0	0	0.32	0
hsa-mir-449c	MI0003823	chr5	-	54468090	54468181	intronic	2	sense	235	hsa-miR-449c-5p	CDC20B	54408799	54469005	-	1.56	0	9.85	0.16	0.18
hsa-mir-4745	MI0017384	chr19	+	804940	805001	intronic	7	sense	1	hsa-miR-4745-5p	PTBP1	797392	812327	+	0	0	0.39	0.48	0
hsa-mir-592	MI0003604	chr7	-	126698142	126698238	intronic	2	sense	48312	hsa-miR-592	GRM8	126078652	126892428	-	0	0	0.79	2.54	1.07
hsa-mir-208b	MI0005570	chr14	-	23887196	23887272	intronic	30	sense	147	hsa-miR-208b-5p	MYH7	23881947	23904870	-	0	5.47	0	0	0
hsa-mir-6862-1	MI0022709	chr16	-	28402303	28402372	intronic	10	sense	701	hsa-miR-6862-5p	EIF3C	28390903	28437775	-	0.89	0	0	0.48	0
hsa-mir-127	MI0000472	chr14	+	101349316	101349412	exonic	1	antisense	0	hsa-miR-127-3p	RTL1	101346992	101351184	-	8781.12	482	1602.82	2291.16	448.72
hsa-mir-4292	MI0015897	chr9	+	139725409	139725475	intronic	5	sense	1473	none	RABL6	139702374	139735639	+	0	0	0	0	0
hsa-mir-128-1	MI0000447	chr2	+	136422967	136423048	intronic	18	sense	4004	hsa-miR-128-1-5p	R3HDM1	136289083	136482839	+	6.68	0.48	0.79	20.31	0.18
hsa-mir-6125	MI0021259	chr12	+	62654140	62654235	exonic	1	sense	0	none	USP15	62654121	62803501	+	0	0	0	0	0
hsa-mir-6828	MI0022673	chr3	+	170140891	170140950	intronic	1	sense	1766	hsa-miR-6828-5p	CLDN11	170136653	170152479	+	0	0	0	0.16	0
hsa-mir-6873	MI0022720	chr6	-	33255004	33255066	intronic	8	sense	66	hsa-miR-6873-3p	WDR46	33246880	33257304	-	0.45	0.24	0	0.16	0
hsa-mir-4794	MI0017441	chr1	+	65045530	65045606	intronic	2	sense	29191	none	CACHD1	64936476	65158741	+	0	0	0	0	0
hsa-mir-7157	MI0023617	chr2	-	141344195	141344254	intronic	43	sense	11946	hsa-miR-7157-5p	LRP1B	140988996	142889270	-	0	0	0	0.16	0
hsa-mir-6813	MI0022658	chr20	-	62708308	62708363	intronic	1	sense	2863	hsa-miR-6813-3p	RGS19	62704535	62711324	-	0	0	0	0.16	0
hsa-mir-5685	MI0019287	chr6	+	53141791	53141869	intronic	4	antisense	10791	none	ELOVL5	53132196	53213977	-	0	0	0	0	0
hsa-mir-3978	MI0016996	chrX	+	109325346	109325446	intronic	3	sense	14722	none	TMEM164	109245863	109421016	+	0	0	0	0	0
hsa-mir-6826	MI0022671	chr3	+	128990989	128991086	intronic	19	sense	237	hsa-miR-6826-5p	COPG1	128968453	128996616	+	0.22	0	0	0.32	0.18
hsa-mir-711	MI0012488	chr3	-	48616335	48616410	intronic	0	sense	0	none	COL7A1	48601506	48632593	-	0	0	0	0	0
hsa-mir-555	MI0003561	chr1	-	155316141	155316236	exonic	21	sense	0	none	ASH1L	155305052	155532324	-	0	0	0	0	0
hsa-mir-6509	MI0022221	chr7	-	134891746	134891830	intronic	4	sense	42	hsa-miR-6509-5p	WDR91	134868590	134896316	-	1.34	0.95	2.36	0.16	1.78
hsa-mir-764	MI0003944	chrX	+	113873918	113874002	intronic	2	sense	25579	none	HTR2C	113818551	114144624	+	0	0	0	0	0
hsa-mir-5004	MI0017870	chr6	+	33406108	33406214	exonic	9	sense	0	none	SYNGAP1	4868093	4901710	+	0	0	0	0	0
hsa-mir-431	MI0001721	chr14	+	101347344	101347457	exonic	1	antisense	0	hsa-miR-431-5p	RTL1	101346992	101351184	-	0.22	0	0.79	0.16	0
hsa-mir-548au	MI0019145	chr9	+	96357123	96357176	intronic	1	sense	17970	none	PHF2	96338909	96441869	+	0	0	0	0	0
hsa-mir-3972	MI0016990	chr1	+	17604384	17604470	intronic	13	sense	1013	none	PADI3	17575593	17610727	+	0	0	0	0	0
hsa-mir-6867	MI0022714	chr17	+	38349849	38349915	intronic	14	sense	180	hsa-miR-6867-5p	RAPGEFL1	38334242	38351906	+	0.45	0	0.39	2.22	0
hsa-mir-1291	MI0006353	chr12	-	49048227	49048313	intronic	9	sense	411	hsa-miR-1291	KANSL2	49046995	49076035	-	0.45	0.24	0.39	1.27	0
hsa-mir-127	MI0000472	chr14	+	101349316	101349412	exonic	1	antisense	0	hsa-miR-127-5p	RTL1	101346992	101351184	-	85.55	14.27	190.35	103.6	20.53
hsa-mir-6864	MI0022711	chr17	-	4872997	4873066	intronic	18	sense	131	hsa-miR-6864-5p	CAMTA2	4871287	4890960	-	0.22	0	0	0.32	0
hsa-mir-1343	MI0017320	chr11	+	34963384	34963467	intronic	2	sense	10353	hsa-miR-1343-3p	PDHX	34937677	35017675	+	1.78	0.48	0	6.82	0.18
hsa-mir-6728	MI0022573	chr1	-	8926561	8926649	intronic	3	sense	527	none	ENO1	8921059	8939151	-	0	0	0	0	0
hsa-mir-4428	MI0016767	chr1	+	237634419	237634491	intronic	17	sense	1932	hsa-miR-4428	RYR2	237205702	237997288	+	0	0.24	0	0	0
hsa-mir-7845	MI0025515	chr2	+	208031124	208031222	intronic	1	antisense	259	hsa-miR-7845-5p	KLF7	207938862	208031970	-	2	0	0	0.95	0
hsa-mir-6836	MI0022682	chr7	-	2297150	2297212	intronic	8	sense	158	none	SNX8	2291405	2354099	-	0	0	0	0	0
hsa-mir-1224	MI0003764	chr3	+	183959193	183959277	intronic	18	sense	1	hsa-miR-1224-3p	VWA5B2	183948317	183960117	+	1.11	0	0	0.63	0
hsa-mir-2116	MI0010635	chr15	-	59463382	59463461	intronic	22	sense	635	hsa-miR-2116-3p	MYO1E	59428168	59665071	-	0	0	0	0.16	0
hsa-mir-6086	MI0020363	chrX	+	13608411	13608465	intronic	2	sense	624	none	EGFL6	13587694	13651694	+	0	0	0	0	0
hsa-mir-302a	MI0000738	chr4	-	113569339	113569407	intronic	10	antisense	349	hsa-miR-302a-5p	LARP7	113558120	113578748	+	3.79	13.56	0	0.32	0.18
hsa-mir-3136	MI0014158	chr3	-	69098109	69098186	intronic	1	sense	2910	none	TMF1	69068978	69101484	-	0	0	0	0	0
hsa-mir-378e	MI0016750	chr5	+	169455492	169455570	intronic	34	sense	540	hsa-miR-378e	DOCK2	169064251	169510386	+	0	0.95	0	0	0.36
hsa-mir-5010	MI0017878	chr17	+	40666206	40666325	exonic	20	sense	0	hsa-miR-5010-5p	ATP6V0A1	40610862	40674597	+	0.45	0	0	1.11	0.54
hsa-mir-4646	MI0017273	chr6	-	31668806	31668868	intronic	3	sense	183	hsa-miR-4646-5p	ABHD16A	2940298	2956709	-	0.22	0	0.39	0	0
hsa-mir-4731	MI0017368	chr17	-	15154944	15155013	intronic	3	sense	7398	none	PMP22	15133096	15168644	-	0	0	0	0	0
hsa-mir-628	MI0003642	chr15	-	55665138	55665232	intronic	5	sense	3915	hsa-miR-628-5p	CCPG1	55647421	55700708	-	60.59	236.24	73.7	192.91	69.07
hsa-mir-661	MI0003669	chr8	-	145019359	145019447	intronic	1	sense	28124	none	PLEC	144989321	145050913	-	0	0	0	0	0
hsa-mir-1289-2	MI0006351	chr5	-	132763288	132763398	intronic	3	sense	139479	none	FSTL4	132532152	132948223	-	0	0	0	0	0
hsa-mir-1184-2	MI0015971	chrX	-	154612749	154612847	exonic	1	antisense	0	none	F8A1	154611749	154613450	+	0	0	0	0	0
hsa-mir-7846	MI0025516	chr1	+	12227000	12227095	exonic	1	sense	0	hsa-miR-7846-3p	TNFRSF1B	12227060	12269277	+	0	0.95	1.18	0	0
hsa-mir-941-1	MI0005763	chr20	+	62550802	62550873	intronic	1	sense	24126	none	DNAJC5	62526455	62567384	+	0	0	0	0	0
hsa-mir-6847	MI0022693	chr8	+	145134777	145134845	intronic	1	sense	975	hsa-miR-6847-5p	EXOSC4	145133522	145135551	+	1.34	0.48	0.39	0.48	0.18
hsa-mir-6833	MI0022678	chr6	+	32147593	32147653	intronic	3	sense	53	hsa-miR-6833-3p	RNF5	32146162	32148570	+	0.22	0	0	0.16	0.18
hsa-mir-548b	MI0003596	chr6	-	119390212	119390308	intronic	1	sense	8998	hsa-miR-548b-3p	FAM184A	119280996	119470358	-	0	0.24	0.79	0	0.36
hsa-mir-3138	MI0014161	chr4	-	10080235	10080316	intronic	9	sense	199	hsa-miR-3138	WDR1	10075963	10118573	-	0	0	0	0.16	0.18
hsa-mir-4646	MI0017273	chr6	-	31668806	31668868	intronic	3	sense	183	hsa-miR-4646-3p	ABHD16A	2997616	3014028	-	0.22	0	0	0	0
hsa-mir-566	MI0003572	chr3	+	50210759	50210852	intronic	2	sense	13592	none	SEMA3F	50192848	50226508	+	0	0	0	0	0
hsa-mir-98	MI0000100	chrX	-	53583184	53583302	intronic	60	sense	1041	hsa-miR-98-5p	HUWE1	53559057	53713697	-	55.92	101.83	195.87	164.04	149.22
